Player,Position,Team,Minutes Played,Goals per 90 minutes,Assists per 90 minutes,Average Goal Contribution Percent,Average Goal Contribution,Average Assists Contribution Percent,Average Assists Contribution
Vitaliy Mykolenko,DF,Ukraine,449,0,0.2,0,0,9.8,0.12
Mykola Matviyenko,DF,Ukraine,540,0,0,0,0,0,0
Serhiy Kryvtsov,DF,Ukraine,540,0,0,0,0,0,0
Taras Stepanenko,MF,Ukraine,394,0,0,0,0,0,0
Bruno Petkovi?,FW,Croatia,415,0.87,0.22,31.87,0.56,15.49,0.27
Nikola Vlaši?,MF,Croatia,352,0.77,0,28.21,0.49,0,0
Ivan Periši?,MF,Croatia,500,0.54,0.18,19.78,0.35,12.68,0.22
Luka Modri?,MF,Croatia,515,0.35,0.17,12.82,0.22,11.97,0.21
Dejan Lovren,DF,Croatia,450,0.2,0,7.33,0.13,0,0
Dominik Livakovi?,GK,Croatia,540,0,0,0,0,0,0
Domagoj Vida,DF,Croatia,450,0,0,0,0,0,0
Borna Bariši?,DF,Croatia,540,0,0.17,0,0,11.97,0.21
Marcelo Brozovi?,MF,Croatia,450,0,0.4,0,0,28.17,0.49
Ante Rebi?,FW,Croatia,324,0,0.28,0,0,19.72,0.34
Patrik Schick,FW,CzechRepublic,377,0.95,0,40.77,0.54,0,0
Jakub Brabec,DF,CzechRepublic,225,0.4,0,17.17,0.23,0,0
Vladimír Darida,MF,CzechRepublic,450,0.2,0,8.58,0.11,0,0
Lukáš Masopust,MF,CzechRepublic,448,0.2,0.4,8.58,0.11,28.78,0.38
Alex Král,MF,CzechRepublic,591,0.15,0.15,6.44,0.09,10.79,0.14
Jakub Jankto,MF,CzechRepublic,595,0.15,0.45,6.44,0.09,32.37,0.43
Ond?ej ?el?stka,DF,CzechRepublic,630,0.14,0.14,6.01,0.08,10.07,0.13
Tomáš Sou?ek,MF,CzechRepublic,630,0.14,0,6.01,0.08,0,0
Tomáš Vaclík,GK,CzechRepublic,540,0,0,0,0,0,0
Vladimír Coufal,DF,CzechRepublic,270,0,0,0,0,0,0
Pavel Kade?ábek,DF,CzechRepublic,361,0,0.25,0,0,17.99,0.24
Harry Kane,FW,England,492,1.83,0.91,39.52,1.51,23.95,0.91
Raheem Sterling,MF,England,412,0.87,1.31,18.79,0.72,34.47,1.31
Marcus Rashford,FW,England,311,0.87,0,18.79,0.72,0,0
Jadon Sancho,MF,England,284,0.63,0.32,13.61,0.52,8.42,0.32
Mason Mount,MF,England,209,0.43,0,9.29,0.35,0,0
Jordan Pickford,GK,England,450,0,0,0,0,0,0
Tyrone Mings,DF,England,180,0,0,0,0,0,0
Trent Alexander-Arnold,DF,England,263,0,0.34,0,0,8.95,0.34
Kieran Trippier,DF,England,270,0,0,0,0,0,0
Ben Chilwell,DF,England,360,0,0.75,0,0,19.74,0.75
Harry Maguire,DF,England,540,0,0.17,0,0,4.47,0.17
Jordan Henderson,MF,England,336,0,0,0,0,0,0
Declan Rice,MF,England,357,0,0,0,0,0,0
John McGinn,MF,Scotland,684,0.92,0.26,64.79,0.69,18.57,0.2
