Player,Position,Age,Matches Played,Starts,Minutes Played,No of 90 minutes played,Goals,Assists,Non-Penalty Goals,Penalty Goals,Penalty Kicks Attempted,Yellow Card,Red Card,Goals per 90 minutes,Assists per 90 minutes,G+A per 90 minutes,Non-Penalty Goals per 90 minutes,Non-Penalty G+A per 90 minutes,Team,,,,,,
Gustav Svensson,"DF,MF",33,5,0,92,1,0,0,0,0,0,0,0,0,0,0,0,0,Sweden,,,,,,
Ken Sema,MF,27,1,1,64,0.7,0,0,0,0,0,0,0,0,0,0,0,0,Sweden,,,,,,
Mattias Svanberg,MF,22,1,1,90,1,1,1,1,0,0,1,0,1,1,2,1,2,Sweden,,,,,,
Viktor Claesson,MF,29,2,2,116,1.3,1,0,1,0,0,0,0,0.78,0,0.78,0.78,0.78,Sweden,,,,,,
Seb Larsson,MF,35,7,6,505,5.6,2,2,0,2,2,2,0,0.36,0.36,0.71,0,0.36,Sweden,,,,,,
Albin Ekdal,MF,31,7,7,541,6,0,1,0,0,0,1,0,0,0.17,0.17,0,0.17,Sweden,,,,,,
Kristoffer Olsson,MF,25,8,7,635,7.1,0,0,0,0,0,1,0,0,0,0,0,0,Sweden,,,,,,
Dejan Kulusevski,"FW,MF",20,1,0,26,0.3,0,0,0,0,0,0,0,0,0,0,0,0,Sweden,,,,,,
Robin Quaison,"FW,MF",27,7,7,576,6.4,3,1,3,0,0,1,0,0.47,0.16,0.62,0.47,0.62,Sweden,,,,,,
Alexander Isak,FW,21,8,3,335,3.7,3,0,3,0,0,0,0,0.81,0,0.81,0.81,0.81,Sweden,,,,,,
Marcus Berg,FW,34,7,6,505,5.6,2,2,2,0,0,1,0,0.36,0.36,0.71,0.36,0.71,Sweden,,,,,,
Dušan Kuciak,GK,35,0,0,,,,,,,,,,,,,,,Slovakia,,,,,,
Marek Rodák,GK,24,2,2,240,2.7,0,0,0,0,0,1,0,0,0,0,0,0,Slovakia,,,,,,
Martin Dúbravka,GK,32,7,7,630,7,0,0,0,0,0,1,0,0,0,0,0,0,Slovakia,,,,,,
Tomáš Hubo?an,DF,35,1,1,120,1.3,0,0,0,0,0,0,0,0,0,0,0,0,Slovakia,,,,,,
?ubomír Šatka,DF,25,2,2,210,2.3,0,0,0,0,0,1,0,0,0,0,0,0,Slovakia,,,,,,
Denis Vavro,DF,24,6,6,561,6.2,0,1,0,0,0,2,0,0,0.16,0.16,0,0.16,Slovakia,,,,,,
Peter Pekarík,DF,34,7,7,689,7.7,0,0,0,0,0,0,0,0,0,0,0,0,Slovakia,,,,,,
Milan Škriniar,DF,25,8,8,750,8.3,0,0,0,0,0,1,0,0,0,0,0,0,Slovakia,,,,,,
Tomáš Suslov,MF,18,0,0,,,,,,,,,,,,,,,Slovakia,,,,,,
László Bénes,MF,23,0,0,,,,,,,,,,,,,,,Slovakia,,,,,,
Patrik Hrošovský,MF,28,3,1,188,2.1,0,0,0,0,0,0,0,0,0,0,0,0,Slovakia,,,,,,
Stanislav Lobotka,MF,26,8,8,687,7.6,1,2,1,0,0,1,0,0.13,0.26,0.39,0.13,0.39,Slovakia,,,,,,
Juraj Kucka,MF,33,9,9,783,8.7,3,1,3,0,0,1,0,0.34,0.11,0.46,0.34,0.46,Slovakia,,,,,,
Marek Hamšík,MF,33,9,9,849,9.4,3,1,3,0,0,2,0,0.32,0.11,0.42,0.32,0.42,Slovakia,,,,,,
Róbert Mak,"FW,MF",29,8,7,563,6.3,1,1,1,0,0,3,1,0.16,0.16,0.32,0.16,0.32,Slovakia,,,,,,
Matúš Bero,FW,25,1,1,90,1,0,0,0,0,0,0,0,0,0,0,0,0,Slovakia,,,,,,
Michal ?uriš,"FW,MF",32,6,0,147,1.6,1,0,1,0,0,1,0,0.61,0,0.61,0.61,0.61,Slovakia,,,,,,
Róbert Boženík,FW,21,7,5,437,4.9,3,0,3,0,0,0,0,0.62,0,0.62,0.62,0.62,Slovakia,,,,,,
?ukasz Skorupski,GK,29,0,0,,,,,,,,,,,,,,,Poland,,,,,,
Wojciech Szcz?sny,GK,30,4,4,360,4,0,0,0,0,0,0,0,0,0,0,0,0,Poland,,,,,,
