Player,Pos,Age,90s,Goals,Shots,Shots on target,Shots on target %,Shots per 90 minutes,Shots on target per 90 minutes,Goal per shot,Goals per shot on target,PK,PKatt,Team
Pierluigi Gollini,GK,25,0,0,0,0,,0,0,,,0,0,Italy
Alex Meret,GK,23,0.2,0,0,0,,0,0,,,0,0,Italy
Salvatore Sirigu,GK,34,3.8,0,0,0,,0,0,,,0,0,Italy
Gianluigi Donnarumma,GK,21,4,0,0,0,,0,0,,,0,0,Italy
Mattia De Sciglio,DF,28,0.5,0,2,1,50,3.75,1.87,0,0,0,0,Italy
Leonardo Spinazzola,DF,27,1,0,1,0,0,1,0,0,,0,0,Italy
Danilo D'Ambrosio,DF,32,1,0,1,0,0,1,0,0,,0,0,Italy
Armando Izzo,DF,28,1.2,0,1,1,100,0.8,0.8,0,0,0,0,Italy
Gianluca Mancini,DF,24,1.7,0,0,0,,0,0,,,0,0,Italy
Cristiano Biraghi,DF,28,2,0,1,1,100,0.51,0.51,0,0,0,0,Italy
Giovanni Di Lorenzo,DF,27,2,0,3,0,0,1.5,0,0,,0,0,Italy
Giorgio Chiellini,DF,36,2,0,3,2,66.7,1.5,1,0,0,0,0,Italy
Alessio Romagnoli,DF,26,3,2,3,2,66.7,1,0.67,0.67,1,0,0,Italy
Francesco Acerbi,DF,32,3,1,2,1,50,0.67,0.33,0.5,1,0,0,Italy
Alessandro Florenzi,DF,29,3.9,0,4,2,50,1.02,0.51,0,0,0,0,Italy
Emerson Palmieri,DF,26,3.8,0,1,0,0,0.26,0,0,,0,0,Italy
Leonardo Bonucci,DF,33,6.8,1,6,1,16.7,0.88,0.15,0.17,1,0,0,Italy
Gaetano Castrovilli,MF,23,0.1,0,0,0,,0,0,,,0,0,Italy
Bryan Cristante,MF,25,1,0,4,0,0,4,0,0,,0,0,Italy
Stefano Sensi,MF,25,1.2,0,6,1,16.7,4.82,0.8,0,0,0,0,Italy
Sandro Tonali,MF,20,2.2,0,0,0,,0,0,,,0,0,Italy
Marco Verratti,MF,28,4.9,1,2,1,50,0.41,0.2,0.5,1,0,0,Italy
Nicolò Barella,MF,23,6.2,2,10,5,50,1.61,0.81,0.2,0.4,0,0,Italy
Jorginho,MF,29,7,3,8,4,50,1.14,0.57,0,0,3,3,Italy
Nicolò Zaniolo,"MF,FW",21,1.7,2,6,3,50,3.46,1.73,0.33,0.67,0,0,Italy
Stephan El Shaarawy,"FW,MF",28,0.5,1,4,3,75,8.18,6.14,0.25,0.33,0,0,Italy
Riccardo Orsolini,"FW,MF",24,0.5,1,4,1,25,8,2,0.25,1,0,0,Italy
Kevin Lasagna,FW,28,0.1,0,0,0,,0,0,,,0,0,Italy
Fabio Quagliarella,FW,38,0.5,0,2,1,50,4,2,0,0,0,0,Italy
Vincenzo Grifo,FW,27,1,0,0,0,,0,0,,,0,0,Italy
Lorenzo Pellegrini,FW,24,1.4,1,6,2,33.3,4.15,1.38,0.17,0.5,0,0,Italy
Ciro Immobile,FW,30,2.7,3,13,6,46.2,4.81,2.22,0.23,0.5,0,0,Italy
Lorenzo Insigne,FW,29,3.9,3,19,9,47.4,4.82,2.28,0.16,0.33,0,0,Italy
Federico Bernardeschi,FW,26,4.3,2,18,9,50,4.2,2.1,0.11,0.22,0,0,Italy
Andrea Belotti,FW,27,4.3,5,14,8,57.1,3.22,1.84,0.36,0.63,0,0,Italy
Federico Chiesa,FW,23,4.4,1,13,4,30.8,2.97,0.91,0.08,0.25,0,0,Italy
Uğurcan Çakır,GK,24,1,0,0,0,,0,0,,,0,0,Turkey
Mert Günok,GK,31,7,0,0,0,,0,0,,,0,0,Turkey
Yıldırım Mert Çetin,DF,24,0.1,0,0,0,,0,0,,,0,0,Turkey
Ozan Kabak,DF,20,1,0,1,0,0,1,0,0,,0,0,Turkey
Hasan Ali Kaldırım,DF,31,2,0,0,0,,0,0,,,0,0,Turkey
Çağlar Söyüncü,DF,24,3.5,0,1,1,100,0.29,0.29,0,0,0,0,Turkey
Umut Meraş,DF,25,4.7,0,0,0,,0,0,,,0,0,Turkey
Kaan Ayhan,DF,26,5,2,3,2,66.7,0.6,0.4,0.67,1,0,0,Turkey
Zeki Çelik,DF,23,6.6,0,5,0,0,0.76,0,0,,0,0,Turkey
Merih Demiral,DF,22,7.9,0,6,2,33.3,0.76,0.25,0,0,0,0,Turkey
Abdülkadir Parmak,MF,26,0,0,0,0,,0,0,,,0,0,Turkey
Abdülkadir Ömür,MF,21,0.3,0,1,0,0,3.1,0,0,,0,0,Turkey
Berkay Özcan,MF,22,0.3,0,0,0,,0,0,,,0,0,Turkey
Güven Yalçın,MF,22,0.6,0,4,1,25,7.06,1.76,0,0,0,0,Turkey
Deniz Turuc,MF,28,1,1,3,1,33.3,3,1,0.33,1,0,0,Turkey
Nazim Sangaré,MF,26,1,0,0,0,,0,0,,,0,0,Turkey
Ömer Bayram,MF,29,1,0,1,1,100,0.99,0.99,0,0,0,0,Turkey
Okay Yokuşlu,MF,26,1.5,0,0,0,,0,0,,,0,0,Turkey
Emre Belözoğlu,MF,40,1.7,0,1,1,100,0.58,0.58,0,0,0,0,Turkey
Yusuf Yazıcı,MF,24,2.9,1,9,4,44.4,3.08,1.37,0.11,0.25,0,0,Turkey
Dorukhan Toköz,MF,24,2.9,1,4,1,25,1.39,0.35,0.25,1,0,0,Turkey
Kenan Karaman,MF,26,3.8,0,3,2,66.7,0.8,0.53,0,0,0,0,Turkey
Mahmut Tekdemir,MF,33,4,0,1,1,100,0.25,0.25,0,0,0,0,Turkey
İrfan Kahveci,MF,25,4.7,0,3,0,0,0.64,0,0,,0,0,Turkey
Ozan Tufan,MF,25,6.2,1,11,3,27.3,1.77,0.48,0.09,0.33,0,0,Turkey
Cengiz Ünder,"MF,FW",23,1.8,1,5,2,40,2.74,1.1,0.2,0.5,0,0,Turkey
Hakan Çalhanoğlu,"MF,FW",26,5.2,0,15,4,26.7,2.87,0.77,0,0,0,0,Turkey
Emre Kılınç,"FW,MF",26,0.2,0,0,0,,0,0,,,0,0,Turkey
Ahmed Kutucu,FW,20,0.9,0,1,0,0,1.07,0,0,,0,0,Turkey
Enes Ünal,FW,23,1,2,4,2,50,4,2,0.25,0.5,1,1,Turkey
Cenk Tosun,FW,29,3.1,3,19,7,36.8,6.11,2.25,0.16,0.43,0,0,Turkey
Burak Yılmaz,FW,35,5,0,11,4,36.4,2.2,0.8,0,0,0,0,Turkey
Yann Sommer,GK,32,7,0,0,0,,0,0,,,0,0,Switzerland
Eray Cömert,DF,22,0.3,0,0,0,,0,0,,,0,0,Switzerland
Renato Steffen,DF,29,1.4,0,4,0,0,2.86,0,0,,0,0,Switzerland
Fabian Schär,DF,29,5,1,12,1,8.3,2.4,0.2,0.08,1,0,0,Switzerland
Manuel Akanji,DF,25,5.7,0,4,2,50,0.7,0.35,0,0,0,0,Switzerland
Nico Elvedi,DF,24,6,0,3,1,33.3,0.5,0.17,0,0,0,0,Switzerland
Loris Benito,"MF,DF",29,1.7,1,9,2,22.2,5.26,1.17,0.11,0.5,0,0,Switzerland
Stephan Lichtsteiner,"MF,DF",37,3.5,0,2,0,0,0.57,0,0,,0,0,Switzerland
Ricardo Rodríguez,"MF,DF",28,7,1,19,11,57.9,2.73,1.58,0.05,0.09,0,1,Switzerland
Michel Aebischer,MF,24,0.1,0,0,0,,0,0,,,0,0,Switzerland
