Player,"Position
",Age,Matches Played,Starts,Minutes Played,No of 90 minutes played,Goals,Assists,Non-Penalty Goals,"
Penalty Goals",Penalty Kicks Attempted,Yellow Card,Red Card,Goals per 90 minutes,"Assists
per 90 minutes",G+A per 90 minutes,"   Non-Penalty Goals per 90 minutes
",Non-Penalty G+A per 90 minutes,Team
Ben Woodburn,"FW,MF",21,0,0,,,,,,,,,,,,,,,Wales
George Thomas,"FW,MF",23,0,0,,,,,,,,,,,,,,,Wales
Ryan Hedges,"FW,MF",25,0,0,,,,,,,,,,,,,,,Wales
Tyler Roberts,"FW,MF",22,2,0,36,0.4,0,0,0,0,0,0,0,0,0,0,0,0,Wales
Sam Vokes,FW,31,2,0,28,0.3,0,0,0,0,0,0,0,0,0,0,0,0,Wales
Kieffer Moore,FW,28,4,4,355,3.9,2,1,2,0,0,1,0,0.51,0.25,0.76,0.51,0.76,Wales
Anssi Jaakkola,GK,33,0,0,,,,,,,,,,,,,,,Finland
Jesse Joronen,GK,27,1,1,90,1,0,0,0,0,0,0,0,0,0,0,0,0,Finland
Lukáš Hrádecký,GK,31,7,7,630,7,0,0,0,0,0,0,0,0,0,0,0,0,Finland
Daniel O'Shaughnessy,DF,26,0,0,,,,,,,,,,,,,,,Finland
Juha Pirinen,DF,29,1,1,90,1,0,0,0,0,0,0,0,0,0,0,0,0,Finland
Leo Väisänen,DF,23,2,1,95,1.1,0,0,0,0,0,0,0,0,0,0,0,0,Finland
Albin Granlund,DF,31,2,2,118,1.3,0,0,0,0,0,0,0,0,0,0,0,0,Finland
Sauli Väisänen,DF,26,4,3,331,3.7,0,0,0,0,0,1,0,0,0,0,0,0,Finland
Paulus Arajuuri,DF,32,6,6,479,5.3,0,0,0,0,0,1,0,0,0,0,0,0,Finland
Jere Uronen,DF,26,6,6,540,6,0,0,0,0,0,1,0,0,0,0,0,0,Finland
Jukka Raitala,DF,32,7,6,588,6.5,0,0,0,0,0,1,0,0,0,0,0,0,Finland
Joona Toivio,DF,32,8,8,688,7.6,0,0,0,0,0,1,0,0,0,0,0,0,Finland
Niko Markkula,"DF,MF",30,0,0,,,,,,,,,,,,,,,Finland
Thomas Lam,"DF,MF",27,1,0,32,0.4,0,0,0,0,0,0,0,0,0,0,0,0,Finland
Rasmus Karjalainen,MF,24,2,0,13,0.1,0,0,0,0,0,0,0,0,0,0,0,0,Finland
Petteri Forsell,MF,30,1,1,62,0.7,0,0,0,0,0,0,0,0,0,0,0,0,Finland
Simon Skrabb,MF,26,3,2,173,1.9,0,0,0,0,0,0,0,0,0,0,0,0,Finland
Rasmus Schüller,MF,29,6,2,204,2.3,0,1,0,0,0,1,0,0,0.44,0.44,0,0.44,Finland
