Player,Team,Goals per 90 minutes,Assists per 90 minutes,Total Goal Contribution Percent,Total Goal Contribution,Total Assists Contribution Percent,Total Assists Contribution
Tomáš Souček,CzechRepublic,0.14,0,4.67,0.06,0,0
Ondřej Čelůstka,CzechRepublic,0.14,0.14,4.67,0.06,8.33,0.11
David Pavelka,CzechRepublic,0,0,0,0,0,0
Michal Krmenčík,CzechRepublic,0,0,0,0,0,0
Martin Doležal,CzechRepublic,0,0,0,0,0,0
Libor Kozák,CzechRepublic,0,0,0,0,0,0
Ladislav Krejčí,CzechRepublic,0,0,0,0,0,0
Ondřej Kolář,CzechRepublic,0,0,0,0,0,0
Tomáš Vaclík,CzechRepublic,0,0,0,0,0,0
Jan Kopic,CzechRepublic,0,0,0,0,0,0
Josef Hušbauer,CzechRepublic,0,0,0,0,0,0
Jaromír Zmrhal,CzechRepublic,0,0,0,0,0,0
Tammy Abraham,England,2.43,0,27.9,1.06,0,0
Harry Kane,England,1.83,0.91,21.01,0.8,17.81,0.68
Marcus Rashford,England,0.87,0,9.99,0.38,0,0
Raheem Sterling,England,0.87,1.31,9.99,0.38,25.64,0.98
Ross Barkley,England,0.68,0.34,7.81,0.3,6.65,0.25
Alex Oxlade-Chamberlain,England,0.64,0.64,7.35,0.28,12.52,0.48
Jadon Sancho,England,0.63,0.32,7.23,0.28,6.26,0.24
Mason Mount,England,0.43,0,4.94,0.19,0,0
Harry Winks,England,0.33,0,3.79,0.14,0,0
Jordan Henderson,England,0,0,0,0,0,0
Fikayo Tomori,England,0,0,0,0,0,0
Callum Hudson-Odoi,England,0,0,0,0,0,0
Callum Wilson,England,0,0,0,0,0,0
John Stones,England,0,0,0,0,0,0
Declan Rice,England,0,0,0,0,0,0
Trent Alexander-Arnold,England,0,0.34,0,0,6.65,0.25
Danny Rose,England,0,0,0,0,0,0
Stuart Findlay,Scotland,1,1,19.76,0.21,41.67,0.44
John McGinn,Scotland,0.92,0.26,18.18,0.19,10.83,0.12
Steven Naismith,Scotland,0.65,0,12.85,0.14,0,0
Oliver Burke,Scotland,0.49,0,9.68,0.1,0,0
Lawrence Shankland,Scotland,0.49,0,9.68,0.1,0,0
Ryan Christie,Scotland,0.37,0.37,7.31,0.08,15.42,0.16
Callum McGregor,Scotland,0,0.1,0,0,4.17,0.04
Robert Snodgrass,Scotland,0,0,0,0,0,0
Ryan Fraser,Scotland,0,0,0,0,0,0
Jon McLaughlin,Scotland,0,0,0,0,0,0
James Forrest,Scotland,0,0,0,0,0,0
Ryan Jack,Scotland,0,0,0,0,0,0
Eamonn Brophy,Scotland,0,0,0,0,0,0
Matt Phillips,Scotland,0,0,0,0,0,0
Lyndon Dykes,Scotland,0,0,0,0,0,0
Leigh Griffiths,Scotland,0,0,0,0,0,0
Johnny Russell,Scotland,0,0,0,0,0,0
Kenny McLean,Scotland,0,0,0,0,0,0
Arkadiusz Milik,Poland,2.2,0,18.63,0.21,0,0
Krzysztof Piątek,Poland,0.92,0,7.79,0.09,0,0
Robert Lewandowski,Poland,0.68,0.27,5.76,0.07,11.16,0.13
Przemysław Frankowski,Poland,0.54,0,4.57,0.05,0,0
Jacek Góralski,Poland,0.46,0,3.9,0.04,0,0
Sebastian Szymański,Poland,0.28,0.28,2.37,0.03,11.57,0.13
Kamil Grosicki,Poland,0.17,0.52,1.44,0.02,21.49,0.24
Grzegorz Krychowiak,Poland,0.13,0,1.1,0.01,0,0
Artur Jędrzejczyk,Poland,0,1.07,0,0,44.21,0.5
Dawid Kownacki,Poland,0,0,0,0,0,0
Piotr Zieliński,Poland,0,0.13,0,0,5.37,0.06
Mateusz Klich,Poland,0,0,0,0,0,0
Krystian Bielik,Poland,0,0,0,0,0,0
Jakub Błaszczykowski,Poland,0,0,0,0,0,0
